Trade Date,Underlying,Product Type,Exchange,Volume
2020/03/09,SPX,I,CBOE,12863931
2020/03/16,SPX,I,CBOE,10013397
2020/03/23,SPX,I,CBOE,7729964
2020/03/30,SPX,I,CBOE,6881426
2020/04/06,SPX,I,CBOE,5467530
2020/04/13,SPX,I,CBOE,5966785
2020/04/20,SPX,I,CBOE,4793408
2020/04/27,SPX,I,CBOE,5671700
2020/05/04,SPX,I,CBOE,4681705
2020/05/11,SPX,I,CBOE,6095640
2020/05/18,SPX,I,CBOE,4738618
2020/05/25,SPX,I,CBOE,4873762
2020/06/01,SPX,I,CBOE,6164557
2020/06/08,SPX,I,CBOE,6762373
2020/06/15,SPX,I,CBOE,6007205
2020/06/22,SPX,I,CBOE,5261470
2020/06/29,SPX,I,CBOE,4904312
2020/07/06,SPX,I,CBOE,4359232
2020/07/13,SPX,I,CBOE,5269439
2020/07/20,SPX,I,CBOE,4612683
2020/07/27,SPX,I,CBOE,4094651
2020/08/03,SPX,I,CBOE,4656543
2020/08/10,SPX,I,CBOE,4523044
2020/08/17,SPX,I,CBOE,4600054
2020/08/24,SPX,I,CBOE,5573037
2020/08/31,SPX,I,CBOE,6710991
2020/09/07,SPX,I,CBOE,4801856
2020/09/14,SPX,I,CBOE,5619433
2020/09/21,SPX,I,CBOE,5716368
2020/09/28,SPX,I,CBOE,4877616
2020/10/05,SPX,I,CBOE,4744329
2020/10/12,SPX,I,CBOE,5334393
2020/10/19,SPX,I,CBOE,4523446
2020/10/26,SPX,I,CBOE,6405626
2020/11/02,SPX,I,CBOE,5697227
2020/11/09,SPX,I,CBOE,5474410
2020/11/16,SPX,I,CBOE,5176412
2020/11/23,SPX,I,CBOE,3563761
2020/11/30,SPX,I,CBOE,4978397
2020/12/07,SPX,I,CBOE,5688441
2020/12/14,SPX,I,CBOE,6093076
2020/12/21,SPX,I,CBOE,3669718
2020/12/28,SPX,I,CBOE,4385815
2021/01/04,SPX,I,CBOE,6278576
2021/01/11,SPX,I,CBOE,6070826
2021/01/18,SPX,I,CBOE,4534313
2021/01/25,SPX,I,CBOE,6570022
2021/02/01,SPX,I,CBOE,5810726
2021/02/08,SPX,I,CBOE,5359306
2021/02/15,SPX,I,CBOE,5339948
2021/02/22,SPX,I,CBOE,6579310
2021/03/01,SPX,I,CBOE,6545178
2021/03/08,SPX,I,CBOE,5763529
2021/03/15,SPX,I,CBOE,6062772
2021/03/22,SPX,I,CBOE,5836647
